,Unnamed: 0.1,Unnamed: 0,RankingList,Filename,index,Role,Standardized Role,job_function,Company,min_salary,max_salary,other_compensation,degree_level,field_of_study,certifications_training,skill,description,learning_objective,confidence,cluster,hierarchy,isSpecialized,type,isBusiness,combined,new_embeds,predicted_cluster,cluster_label,IQ_INDUSTRY_CLASSIFICATION,IQ_INDUSTRY_GROUP,Overall % from Aspirations,Industry Count,Industry Importance,Impact score,Personal Growth score,Leadership Development score,Challenges score,Overall % from Motivations,Normalized Overall % from Aspirations,Normaized Industry Importance,Normalized Overall % from Motivations,Combined Normalized Overall % from Aspirations and Motivations,Combined Normalized Industry Importance and Overall % from Motivations,Open Positions,Mean Industry Importance Score
11,11,11,Companies In India,job_result_10_80.txt,11,HT Media - Product Manager,HT Media Product Manager,Product Management,Hindustan Times,100000,150000,"Stock options, bonuses, and benefits",Bachelor's,"Computer Science, Engineering","Product Management certification, Agile methodologies training",Product Evangelism,"Serve as a product evangelist, advocating for the value and benefits of our OTT play and mobile applications internally and externally.","Given a product, advocate its value and benefits to internal and external stakeholders.",0.7,Communication Skills,Product Evangelism,1.0,Nice_to_Have,0,"Role: HT Media Product Manager; Skills: Product Evangelism; Learning Objectives: Given a product, advocate its value and benefits to internal and external stakeholders","[-0.01701658 -0.00013898  0.00154187 ... -0.00427056 -0.01156083
 -0.01513774]",1,Product Management,Communication Services,Media and Entertainment,0.20879999999999999,312,65.1456,0.0,0.0,0.0,0.0,0.0,0.41315436241610737,0.3354989627085211,0.0,0.41315436241610737,0.3354989627085211,9,0.3354989627085211
12,12,12,Companies In India,job_result_1_90.txt,12,Hindustan Times - Region Head - OTT Sales,Region Head OTT Sales,Sales & Marketing,Hindustan Times,Not specified,Not specified,Not specified,Bachelor's,Any,Not specified,Time Management,Ability to manage time effectively,Develop time management skills,0.7,Soft Skills,Child,0.0,Implied,0,Role: Region Head OTT Sales; Skills: Time Management; Learning Objectives: Develop time management skills,"[-0.00437373 -0.01727873  0.00819873 ...  0.00383329 -0.00607141
 -0.0130497 ]",5,Business Development,Communication Services,Media and Entertainment,0.20879999999999999,312,65.1456,0.0,0.0,0.0,0.0,0.0,0.41315436241610737,0.3354989627085211,0.0,0.41315436241610737,0.3354989627085211,9,0.3354989627085211
13,13,13,Companies In India,job_result_2_80.txt,13,Director(Business Development),Director Business Development,General management / Strategic,GAIL,Rs. 51300,Rs. 73000,IDA pattern,Engineering Graduate,Any field,MBA/Post Graduate Diploma in management,Teamwork,Work effectively in teams,Develop teamwork skills,0.4,Teamwork,Root,0.0,Implied,1,Role: Director Business Development; Skills: Teamwork; Learning Objectives: Develop teamwork skills,"[-0.03221309 -0.01809953  0.01291049 ... -0.01258269 -0.00711466
 -0.00664058]",5,Business Development,Utilities,Utilities,0.1343,81,10.8783,0.0,0.0,0.0,0.0,0.0,0.21315436241610738,0.04712289778427738,0.0,0.21315436241610738,0.04712289778427738,6,0.10267845333983293
14,14,14,Companies In India,job_result_7_80.txt,14,Marketing Officer,Marketing Officer,Sales & Marketing,GAIL,"Rs.60,000","Rs.1,80,000","Good work environment, handsome compensation, responsible position, growth path, respectful life",Bachelor's,Engineering,MBA with specialization in Marketing/Oil & Gas/Petroleum and Energy/Energy and Infrastructure/International Business,Content Creation,Develop engaging and informative content for marketing channels.,"Given a content topic, create engaging content.",0.8,Content Development,Child,0.0,Nice_to_Have,1,"Role: Marketing Officer; Skills: Content Creation; Learning Objectives: Given a content topic, create engaging content","[-0.03104073 -0.00850015 -0.00175211 ...  0.00525803 -0.00093914
 -0.01263021]",4,Marketing and Sales,Utilities,Utilities,0.1343,81,10.8783,0.0,0.0,0.0,0.0,0.0,0.21315436241610738,0.04712289778427738,0.0,0.21315436241610738,0.04712289778427738,6,0.10267845333983293
15,15,15,Companies In India,job_result_6_90.txt,15,Career Opportunities In Medical Services Discipline,Officer,Operations,GAIL,50000,70000,Benefits package,Bachelor's,Business Administration,Project Management Certification,Collaboration,Work effectively with cross-functional teams,Develop collaboration skills,0.5,Soft Skills,Root,0.0,Implied,1,Role: Officer; Skills: Collaboration; Learning Objectives: Develop collaboration skills,"[-0.01859506 -0.00059906  0.00915176 ... -0.00800753  0.0031277
 -0.01336532]",10,Operational Excellence,Utilities,Utilities,0.1343,81,10.8783,0.0,0.0,0.0,0.0,0.0,0.21315436241610738,0.04712289778427738,0.0,0.21315436241610738,0.04712289778427738,6,0.10267845333983293
16,16,16,Companies In India,job_result_1_90.txt,16,Career-Opportunities-As-Executive-Trainee-2023,Executive Trainee,Operations,GAIL,Not specified,Not specified,Not specified,Bachelor's,Engineering or Technology,GATE Exam,Adaptability,Ability to adapt to new situations and challenges,To develop adaptability skills,0.6,Personal Attributes,Root,1.0,Implied,0,Role: Executive Trainee; Skills: Adaptability; Learning Objectives: To develop adaptability skills,"[-0.02551794 -0.01708209  0.02366483 ... -0.01302397  0.00015851
 -0.01982603]",11,General Management,Utilities,Utilities,0.1343,81,10.8783,0.0,0.0,0.0,0.3077,0.076925,0.21315436241610738,0.04712289778427738,0.33333333333333326,0.5464876957494407,0.3804562311176106,6,0.10267845333983293
17,17,17,Companies In India,job_result_2_90.txt,17,Career Opportunities In Various Disciplines For Non-Executives,Engineer,Operations,GAIL,"Rs. 35,000","Rs. 1,38,000","Variable Dearness Allowance (VDA), perks & allowances under Cafeteria",Bachelor's,Engineering,Not specified,Time Management,Ability to prioritize tasks effectively.,Manage time efficiently to meet deadlines.,0.7,Soft Skills,Root > Time Management > Prioritization,0.0,Nice_to_Have,0,Role: Engineer; Skills: Time Management; Learning Objectives: Manage time efficiently to meet deadlines,"[-0.01911922 -0.00228064  0.01374544 ... -0.01058573 -0.0053599
 -0.00676264]",7,Engineering Leadership,Utilities,Utilities,0.1343,81,10.8783,0.0,0.0,0.0,0.0,0.0,0.21315436241610738,0.04712289778427738,0.0,0.21315436241610738,0.04712289778427738,6,0.10267845333983293
18,18,18,Companies In India,job_result_3_90.txt,18,Executive Trainee 2022,Executive Trainee,Operations,GAIL,"Rs. 60,000/- per month","Rs. 1,80,000/- per month","Benefits like medical insurance, provident fund, and gratuity",Bachelor's degree,Engineering or Technology,GATE exam certification,Time Management,Ability to manage time effectively,To manage time effectively,0.4,Organizational Skills,Root,1.0,Implied,0,Role: Executive Trainee; Skills: Time Management; Learning Objectives: To manage time effectively,"[-0.02607081 -0.01562528  0.02149843 ... -0.01136597 -0.00042861
 -0.01934913]",11,General Management,Utilities,Utilities,0.1343,81,10.8783,0.0,0.0,0.0,0.0,0.0,0.21315436241610738,0.04712289778427738,0.0,0.21315436241610738,0.04712289778427738,6,0.10267845333983293
19,19,19,Companies In India,job_result_1_90.txt,19,Area Head,Area Head,Sales & Marketing,Max Life Insurance,Not specified,Not specified,Not specified,Bachelor's,"Business Administration, Finance, or related field",Certifications or professional qualifications related to insurance and management,Adaptability,Ability to adapt to changing market trends and customer needs,Develop adaptability skills,0.6,Personal,Child,0.0,Implied,1,Role: Area Head; Skills: Adaptability; Learning Objectives: Develop adaptability skills,"[-0.01396805 -0.00382723  0.01564    ... -0.01935519  0.00059636
 -0.00945908]",5,Business Development,Financials,Insurance,0.243,595,144.585,0.0,0.0,0.0,0.0,0.0,0.5049664429530202,0.7576393966704644,0.0,0.5049664429530202,0.7576393966704644,13,0.8298875904656196
20,20,20,Companies In India,job_result_10_90.txt,20,Max Life Hiring For Sales In Pune,Sales Manager,Sales & Marketing,Max Life Insurance,200000,400000,Incentives,Bachelor's,Any,Not specified,Customer Service,Ability to provide excellent customer service,Resolve customer complaints effectively,0.8,Soft Skills,Customer Relations,0.0,Nice_to_Have,0,Role: Sales Manager; Skills: Customer Service; Learning Objectives: Resolve customer complaints effectively,"[-0.02747024 -0.01016044  0.01672982 ...  0.00057697 -0.00707949
 -0.01588295]",5,Business Development,Financials,Insurance,0.243,595,144.585,0.0,0.0,0.0,0.0,0.0,0.5049664429530202,0.7576393966704644,0.0,0.5049664429530202,0.7576393966704644,13,0.8298875904656196
21,21,21,Companies In India,job_result_6_80.txt,21,Insurance advisor,Insurance Advisor,Sales & Marketing,Max Life Insurance,"30,000.00 per month",Not specified,"Commission pay, Performance bonus, Yearly bonus",Higher Secondary (12th Pass),Not specified,Life Insurance Agent/Advisor License Holder of LIC and PVT Company,Teamwork,Ability to collaborate with colleagues to achieve common goals.,Foster a collaborative team environment.,0.7,Soft Skills,Teamwork,0.0,Implied,0,Role: Insurance Advisor; Skills: Teamwork; Learning Objectives: Foster a collaborative team environment,"[-0.01786521 -0.01160935  0.01678581 ... -0.01704448 -0.01265789
 -0.01810296]",5,Business Development,Financials,Insurance,0.243,595,144.585,0.0,0.0,0.0,0.0,0.0,0.5049664429530202,0.7576393966704644,0.0,0.5049664429530202,0.7576393966704644,13,0.8298875904656196
22,22,22,Companies In India,job_result_3_80.txt,22,"""""Know Max Life Hiring For AADM""""",Sales Manager,Sales & Marketing,Max Life Insurance,200000,400000,Incentives,Bachelor's,Any,Not specified,Team Collaboration,Ability to work collaboratively with cross-functional teams,Foster a collaborative team environment,0.8,Soft Skills,Root,0.0,Nice_to_Have,0,Role: Sales Manager; Skills: Team Collaboration; Learning Objectives: Foster a collaborative team environment,"[-0.02916373 -0.01571597  0.01403393 ... -0.00503416 -0.00905826
 -0.01522277]",5,Business Development,Financials,Insurance,0.243,595,144.585,0.0,0.0,0.0,0.0,0.0,0.5049664429530202,0.7576393966704644,0.0,0.5049664429530202,0.7576393966704644,13,0.8298875904656196
23,23,23,Companies In India,job_result_2_75.txt,23,15 vacancy For Agency Manager Pune....,Agency Manager,Sales & Marketing,Max Life Insurance,"350,000.00","350,000.00",Incentives,Bachelor's,Any,Not specified,Problem Solving,Ability to solve problems,Develop problem-solving strategies,0.8,Problem Solving,Critical Thinking,0.0,Implied,0,Role: Agency Manager; Skills: Problem Solving; Learning Objectives: Develop problem-solving strategies,"[-0.02086651 -0.00733038  0.00442157 ... -0.00792329 -0.00404981
 -0.02597841]",5,Business Development,Financials,Insurance,0.243,595,144.585,0.0,0.0,0.0,0.0,0.0,0.5049664429530202,0.7576393966704644,0.0,0.5049664429530202,0.7576393966704644,13,0.8298875904656196
24,24,24,Companies In India,job_result_3_75.txt,24,Manager - Advisor Development and Retention Vertical,Manager Advisor Development and Retention,Sales & Marketing,Max Life Insurance,"Rs. 5,00,000","Rs. 10,00,000",Bonuses and incentives,Graduate,Any,Insurance industry certifications,Adaptability,Ability to adapt to changing sales environments,"Given changing sales conditions, adapt sales strategies",0.6,Personal Skills,Root > Personal Skills > Adaptability,0.0,Implied,0,"Role: Manager Advisor Development and Retention; Skills: Adaptability; Learning Objectives: Given changing sales conditions, adapt sales strategies","[-0.03031766 -0.0214766   0.00749996 ... -0.00575433 -0.01699118
 -0.00308669]",5,Business Development,Financials,Insurance,0.243,595,144.585,0.0,0.0,0.0,0.0,0.0,0.5049664429530202,0.7576393966704644,0.0,0.5049664429530202,0.7576393966704644,13,0.8298875904656196
25,25,25,Companies In India,job_result_6_90.txt,25,Branch Relationship Manager,Branch Relationship Manager,Sales & Marketing,Max Life Insurance,Not specified,Not specified,Not specified,Bachelor's,Any,Not specified,Leadership Skills,Ability to inspire and motivate team members to achieve sales targets,"Given a team, inspire and motivate them to achieve sales targets",0.8,Leadership Skills,Root,0.0,Nice_to_Have,0,"Role: Branch Relationship Manager; Skills: Leadership Skills; Learning Objectives: Given a team, inspire and motivate them to achieve sales targets","[-0.03735621 -0.02007065 -0.00346204 ... -0.0096651  -0.02450695
 -0.02169566]",5,Business Development,Financials,Insurance,0.243,595,144.585,0.0,0.0,0.4335,0.0,0.108375,0.5049664429530202,0.7576393966704644,0.46961325966850825,0.9745797026215284,1.2272526563389727,13,0.8298875904656196
26,26,26,Companies In India,job_result_2_90.txt,26,Deputy Manager,Deputy Manager,Operations,Max Life Insurance,500000,1000000,Bonuses and stock options,Bachelor's,"Business Administration, Finance, or related field",MBA Finance or related certifications,Adaptability,Ability to adapt to changing environments.,Develop adaptability skills.,0.6,Soft Skills,Personal Attributes,0.0,Implied,1,Role: Deputy Manager; Skills: Adaptability; Learning Objectives: Develop adaptability skills,"[-0.02378093 -0.01472766  0.01167341 ... -0.00743337 -0.00583578
 -0.00274572]",2,Executive Leadership,Financials,Insurance,0.243,595,144.585,0.0,0.0,0.0,0.0,0.0,0.5049664429530202,0.7576393966704644,0.0,0.5049664429530202,0.7576393966704644,13,0.8298875904656196
27,27,27,Companies In India,job_result_7_80.txt,27,Associate Agency Development Manager,Associate Agency Development Manager,General management / Strategic,Max Life Insurance,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Emotional Intelligence,Self-awareness and ability to empathize with others,Develop emotional intelligence skills to foster strong relationships,0.7,Interpersonal,Root,0.0,Implied,0,Role: Associate Agency Development Manager; Skills: Emotional Intelligence; Learning Objectives: Develop emotional intelligence skills to foster strong relationships,"[-0.02598574 -0.00979994  0.01610073 ... -0.01658436 -0.0228273
 -0.01843404]",5,Business Development,Financials,Insurance,0.243,595,144.585,0.0,0.0,0.0,0.0,0.0,0.5049664429530202,0.7576393966704644,0.0,0.5049664429530202,0.7576393966704644,13,0.8298875904656196
28,28,28,Companies In India,job_result_7_90.txt,28,"""Hiring For Assistand Sales Manager In Max life insurance""",Sales Manager,Sales & Marketing,Max Life Insurance,"200,000.00","350,000.00","Bonuses, Stock Options",Bachelor's,Any,Not specified,Negotiation Skills,Ability to negotiate with customers effectively,"By the end of this course, learners will be able to negotiate with customers effectively.",0.8,Negotiation Skills,Root,0.0,Nice_to_Have,0,"Role: Sales Manager; Skills: Negotiation Skills; Learning Objectives: By the end of this course, learners will be able to negotiate with customers effectively","[-0.02084179 -0.01734109  0.01294168 ... -0.00035451  0.00106829
 -0.01102454]",5,Business Development,Financials,Insurance,0.243,595,144.585,0.0,0.0,0.0,0.0,0.0,0.5049664429530202,0.7576393966704644,0.0,0.5049664429530202,0.7576393966704644,13,0.8298875904656196
29,29,29,Companies In India,job_result_5_80.txt,29,"""""Golden Opportunity To enter In Sales Manager""""",Sales Manager,Sales & Marketing,Max Life Insurance,3.50 Lacs,3.50 Lacs,"Bonuses, stock options, benefits",Bachelor's,Any,Not specified,Problem-Solving,Basic problem-solving skills.,Develop ability to overcome sales obstacles.,0.8,Problem-Solving Skills,Root,0.0,Implied,0,Role: Sales Manager; Skills: Problem-Solving; Learning Objectives: Develop ability to overcome sales obstacles,"[-0.03080135 -0.0171522   0.01592384 ... -0.00531272 -0.00856898
 -0.01115987]",5,Business Development,Financials,Insurance,0.243,595,144.585,0.0,0.0,0.4335,0.0,0.108375,0.5049664429530202,0.7576393966704644,0.46961325966850825,0.9745797026215284,1.2272526563389727,13,0.8298875904656196
30,30,30,Companies In India,job_result_9_90.txt,30,"""""Max life Hiring For Sales Associates""""",Sales Associate,Sales & Marketing,Max Life Insurance,250000,300000,Bonuses and incentives,Bachelor's,Any,Not specified,Business Acumen,Basic understanding of business operations,"Given a business scenario, make informed decisions.",0.7,Business Skills,Root,0.0,Implied,0,"Role: Sales Associate; Skills: Business Acumen; Learning Objectives: Given a business scenario, make informed decisions","[-0.0328888  -0.01093041  0.01978496 ... -0.01230433 -0.0154397
 -0.02326532]",5,Business Development,Financials,Insurance,0.243,595,144.585,0.0,0.0,0.0,0.0,0.0,0.5049664429530202,0.7576393966704644,0.0,0.5049664429530202,0.7576393966704644,13,0.8298875904656196
31,31,31,Companies In India,job_result_1_80.txt,31,"""Assistant Manager require in Max Life Nashik""",Assistant Manager,Sales & Marketing,Max Life Insurance,"260,000.00","350,000.00","Bonuses, Stock Options",Bachelor's,Any Sales,Not specified,Negotiation Skills,Ability to negotiate with customers effectively,"By the end of this course, learners will be able to negotiate with customers effectively.",0.8,Negotiation Skills,Root,0.0,Nice_to_Have,1,"Role: Assistant Manager; Skills: Negotiation Skills; Learning Objectives: By the end of this course, learners will be able to negotiate with customers effectively","[-2.42287786e-02 -1.05616951e-02  1.46649913e-02 ...  2.22630624e-05
  4.78305730e-03 -1.06225691e-02]",10,Operational Excellence,Financials,Insurance,0.243,595,144.585,0.0,0.0,0.0,0.0,0.0,0.5049664429530202,0.7576393966704644,0.0,0.5049664429530202,0.7576393966704644,13,0.8298875904656196
32,32,32,Companies In India,job_result_3_93.txt,32,JSW One - Finance Manager - Direct & Indirect Tax - CA,Finance Manager,Finance,JSW Steel Ltd,80000,120000,Stock options and bonuses,Bachelor's,Finance or Accounting,CPA certification,Problem-Solving,Ability to solve complex problems,Analyze problems to develop effective solutions,0.5,Cognitive Skills,Child,1.0,Implied,1,Role: Finance Manager; Skills: Problem-Solving; Learning Objectives: Analyze problems to develop effective solutions,"[-0.01884039 -0.0144173   0.01046613 ...  0.00594179  0.00641805
 -0.01277051]",3,Corporate and Project Finance,Materials,Materials,0.054900000000000004,146,8.015400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0319094665601034,0.0,0.0,0.0319094665601034,4,0.0319094665601034
33,33,33,Companies In India,job_result_1_93.txt,33,JSW Steel - Head - Direct Taxation - CA (15-18 yrs),Head Direct Taxation,Finance,JSW Steel Ltd,Not mentioned,Not mentioned,Not mentioned,CA,Not mentioned,Not mentioned,Master File,Review master file,To maintain accurate records,0.6,Taxation,Child,1.0,Nice_to_Have,0,Role: Head Direct Taxation; Skills: Master File; Learning Objectives: To maintain accurate records,"[-0.01256701 -0.01918364  0.00668758 ...  0.00281467 -0.00730604
 -0.02031083]",3,Corporate and Project Finance,Materials,Materials,0.054900000000000004,146,8.015400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0319094665601034,0.0,0.0,0.0319094665601034,4,0.0319094665601034
